Word1,Word2,Word3,Word4,Expected
κάπου,κάπου,κήπου,κάπου,m
κήπο,κήπο,κήπο,κόπο,m
κάπας,κάπας,τάπας,κάπας,m
τάπες,κάπες,κάπες,κάπες,z
κέντα,κέντα,τέντα,κέντα,m
τι,τι,τι,κι,m
χύμα,θύμα,θύμα,θύμα,z
θύτης,θύτης,θύτης,χύτης,m
χώμα,χύμα,χώμα,χώμα,z
χάνει,χύνει,χύνει,χύνει,z
χάβω,χάβω,χάβω,θάβω,m
θάβει,θάβει,χάβει,θάβει,m
ντάμα,γκάμα,ντάμα,ντάμα,z
γκάλα,γκάλα,γκάλα,ντάλα,m
γκύζη,γκάζι,γκάζι,γκάζι,z
γκέμι,γκέμι,γκόμι,γκέμι,m
ντι,γκι,γκι,γκι,z
ντέφι,γκέφι,ντέφι,ντέφι,z
γόνος,γένος,γόνος,γόνος,z
γέλα,γάλα,γέλα,γέλα,z
γένει,δένει,γένει,γένει,z
δίδα,γίδα,γίδα,γίδα,z
δούλα,γούλα,γούλα,γούλα,z
γάμα,γάμα,δάμα,γάμα,m
τάμα,τάμα,θάμα,τάμα,m
θέλει,τέλη,θέλει,θέλει,z
κύμα,χύμα,χύμα,χύμα,z
χήνα,χήνα,χήνα,κίνα,m
κώμα,κώμα,χώμα,κώμα,m
κάνω,χάνω,χάνω,χάνω,z
ντίμη,δήμη,ντίμη,ντίμη,z
ντύσει,ντύσει,ντύσει,δύσει,m
γκέλα,γκέλα,γέλα,γκέλα,m
γκέννες,γκέννες,γκέννες,γέννες,m
γάμα,γάμα,γάμα,γκάμα,m
γάτα,γκάτα,γάτα,γάτα,z
